passer_player_name,season,MVP,posteam,wins,losses,pct,tot_rushing_yards,tot_rushing_tds,tot_games_played,avg_air_epa,epa_play,avg_wpa,tot_completions,tot_attempts,tot_passing_yards,tot_passing_tds,tot_ints,avg_cpoe,passing_yard_rank,cpoe_rank,avg_wpa_rank,epa_rank,passing_td_rank,completion_percentage,comp_percentage_rank,passing_epa_rank,tot_yards,tot_tds,tot_yard_rank,tot_td_rank,played_ten_games,win_rank
B.Johnson,2003,0,TB,7,9,0.4375,33,0,16,NA,0.038224439719935,NA,354,592,3811,26,21,NA,5,6,4,14,3,0.597972972972973,8,4,3844,26,6,8,1,19.5
B.Leftwich,2003,0,JAX,5,11,0.3125,108,2,15,NA,-0.0546092534873714,NA,239,437,2819,14,16,NA,16,7,5,20,16,0.546910755148741,18,5,2927,16,17,17,1,29.5
C.Chandler,2003,0,CHI,7,9,0.4375,31,0,7,NA,-0.0882752476560926,NA,101,186,969,3,7,NA,38,8,6,27,39,0.543010752688172,19,6,1000,3,38,39.5,0,19.5
C.Pennington,2003,0,NYJ,6,10,0.375,42,2,10,NA,0.0525914237105305,NA,189,326,2139,13,12,NA,23,9,7,11,19,0.579754601226994,12,7,2181,15,25,19,1,23.5
D. Brees,2003,0,LAC,4,12,0.25,84,0,11,NA,-0.193853051249154,NA,205,378,2108,11,15,NA,25,10,8,36,24,0.542328042328042,20,8,2192,11,24,27,1,37
D. Culpepper,2003,0,MIN,9,7,0.5625,422,4,14,NA,0.113000538531534,NA,295,492,3479,25,11,NA,9,11,9,6,6,0.599593495934959,7,9,3901,29,5,2.5,1,15
D. Flutie,2003,0,LAC,4,12,0.25,168,2,7,NA,0.0543830737172716,NA,91,176,1097,9,4,NA,34,12,10,9,28,0.517045454545455,32,10,1265,11,34,27,0,37
D.Bledsoe,2003,0,BUF,6,10,0.375,29,2,14,NA,-0.0815164574418052,NA,234,448,2603,11,9,NA,19,13,11,26,25,0.522321428571429,30,11,2632,13,19,23,1,23.5
D.Carr,2003,0,HOU,5,11,0.3125,151,2,12,NA,-0.114907249451662,NA,167,310,2013,9,13,NA,26,14,12,32,29,0.538709677419355,23,12,2164,11,26,27,1,29.5
D.Johnson,2003,0,ATL,5,11,0.3125,21,1,10,NA,-0.241690710388021,NA,136,263,1655,8,12,NA,28,15,13,38,30,0.517110266159696,31,13,1676,9,28,30.5,1,29.5
